x,y,u,v,w,p,omega
0.0,0.0,2.8923154e-05,-5.163625e-05,5.6905672e-05,-0.029175933,0.0005275859
0.0,0.034482758620689655,2.0131469e-05,-5.509332e-05,4.0488318e-05,-0.029174328,0.00047691303
0.0,0.06896551724137931,1.2300909e-05,-5.853176e-05,2.563931e-05,-0.029173056,0.00042867902
0.0,0.10344827586206896,5.379319e-06,-6.18808e-05,1.2399629e-05,-0.029172057,0.00038335734
0.0,0.13793103448275862,-6.183982e-07,-6.51218e-05,6.5378845e-07,-0.02917131,0.00034156218
0.0,0.1724137931034483,-5.7145953e-06,-6.819889e-05,-9.572133e-06,-0.02917079,0.00030412362
0.0,0.20689655172413793,-9.976327e-06,-7.1041286e-05,-1.837127e-05,-0.029170536,0.0002721287
0.0,0.24137931034482757,-1.335144e-05,-7.361919e-05,-2.5734305e-05,-0.029170414,0.00024686212
0.0,0.27586206896551724,-1.5884638e-05,-7.588416e-05,-3.1763688e-05,-0.029170508,0.00022968391
0.0,0.3103448275862069,-1.7553568e-05,-7.778779e-05,-3.6478043e-05,-0.029170739,0.00022153887
0.0,0.3448275862068966,-1.846999e-05,-7.928908e-05,-3.9935112e-05,-0.029171113,0.00022249631
0.0,0.3793103448275862,-1.8566847e-05,-8.035451e-05,-4.2190775e-05,-0.029171601,0.00023158437
0.0,0.41379310344827586,-1.7866492e-05,-8.091703e-05,-4.33065e-05,-0.029172217,0.00024709248
0.0,0.4482758620689655,-1.6443431e-05,-8.096546e-05,-4.3312088e-05,-0.02917292,0.0002671924
0.0,0.48275862068965514,-1.4252961e-05,-8.044392e-05,-4.229322e-05,-0.029173722,0.00029027023
0.0,0.5172413793103449,-1.1436641e-05,-7.933378e-05,-4.031509e-05,-0.029174607,0.00031512024
0.0,0.5517241379310345,-7.882714e-06,-7.757917e-05,-3.7401915e-05,-0.029175563,0.00034082876
0.0,0.5862068965517241,-3.6731362e-06,-7.516146e-05,-3.3654273e-05,-0.029176595,0.00036677363
0.0,0.6206896551724138,1.1995435e-06,-7.203221e-05,-2.913922e-05,-0.029177696,0.000392531
0.0,0.6551724137931034,6.6682696e-06,-6.8195164e-05,-2.3880973e-05,-0.029178873,0.00041778377
0.0,0.6896551724137931,1.2725592e-05,-6.360561e-05,-1.7987564e-05,-0.02918009,0.0004423312
0.0,0.7241379310344828,1.9304454e-05,-5.824864e-05,-1.1511147e-05,-0.0291814,0.00046603926
0.0,0.7586206896551724,2.6449561e-05,-5.205348e-05,-4.5057386e-06,-0.029182784,0.0004888023
0.0,0.7931034482758621,3.4093857e-05,-4.5057386e-05,2.9727817e-06,-0.029184224,0.00051058567
0.0,0.8275862068965517,4.220754e-05,-3.721565e-05,1.0827556e-05,-0.029185746,0.0005313456
0.0,0.8620689655172413,5.079806e-05,-2.8520823e-05,1.9008294e-05,-0.029187355,0.00055109605
0.0,0.896551724137931,5.978346e-05,-1.8950552e-05,2.7431175e-05,-0.02918907,0.0005698527
0.0,0.9310344827586207,6.9111586e-05,-8.486211e-06,3.6070123e-05,-0.029190876,0.00058764673
0.0,0.9655172413793103,7.882714e-05,2.8684735e-06,4.483573e-05,-0.02919276,0.00060451875
0.0,1.0,8.8877976e-05,1.513958e-05,5.3670257e-05,-0.029194783,0.0006205279
0.034482758620689655,0.0,3.4168363e-05,-5.9653074e-05,5.211495e-05,-0.029175386,0.000528765
0.034482758620689655,0.034482758620689655,2.528727e-05,-6.3013285e-05,3.622286e-05,-0.029173745,0.00047758827
0.034482758620689655,0.06896551724137931,1.7337501e-05,-6.633252e-05,2.1882355e-05,-0.029172385,0.0004285429
0.034482758620689655,0.10344827586206896,1.0237098e-05,-6.959587e-05,9.125099e-06,-0.029171275,0.00038200183
0.034482758620689655,0.13793103448275862,4.0233135e-06,-7.273257e-05,-2.1401793e-06,-0.0291704,0.0003384473
0.034482758620689655,0.1724137931034483,-1.3262033e-06,-7.5709075e-05,-1.1952594e-05,-0.029169742,0.00029854925
0.034482758620689655,0.20689655172413793,-5.8710575e-06,-7.8462064e-05,-2.033636e-05,-0.029169263,0.00026323437
0.034482758620689655,0.24137931034482757,-9.559095e-06,-8.094683e-05,-2.7347356e-05,-0.029168978,0.00023372109
0.034482758620689655,0.27586206896551724,-1.2412667e-05,-8.31373e-05,-3.3022836e-05,-0.029168835,0.00021149722
0.034482758620689655,0.3103448275862069,-1.4513731e-05,-8.498505e-05,-3.7429854e-05,-0.02916884,0.00019801862
0.034482758620689655,0.3448275862068966,-1.5817583e-05,-8.6426735e-05,-4.0605664e-05,-0.029168969,0.00019409062
0.034482758620689655,0.3793103448275862,-1.6391277e-05,-8.743629e-05,-4.263036e-05,-0.029169207,0.00019928384
0.034482758620689655,0.41379310344827586,-1.6197562e-05,-8.797273e-05,-4.3515116e-05,-0.029169537,0.00021203402
0.034482758620689655,0.4482758620689655,-1.528114e-05,-8.799508e-05,-4.3358654e-05,-0.029169982,0.00023028893
0.034482758620689655,0.48275862068965514,-1.3694167e-05,-8.746609e-05,-4.2211264e-05,-0.0291705,0.0002521543
0.034482758620689655,0.5172413793103449,-1.1377037e-05,-8.634105e-05,-4.0113926e-05,-0.029171094,0.000276162
0.034482758620689655,0.5517241379310345,-8.4117055e-06,-8.461997e-05,-3.7169084e-05,-0.029171774,0.00030125742
0.034482758620689655,0.5862068965517241,-4.7832727e-06,-8.222833e-05,-3.339164e-05,-0.029172517,0.0003267259
0.034482758620689655,0.6206896551724138,-5.9604645e-07,-7.9166144e-05,-2.8880313e-05,-0.029173339,0.00035210367
0.034482758620689655,0.6551724137931034,4.224479e-06,-7.539615e-05,-2.367422e-05,-0.029174246,0.0003770493
0.034482758620689655,0.6896551724137931,9.603798e-06,-7.08811e-05,-1.7851591e-05,-0.0291752,0.00040135198
0.034482758620689655,0.7241379310344828,1.5504658e-05,-6.561354e-05,-1.1503696e-05,-0.029176235,0.0004248838
0.034482758620689655,0.7586206896551724,2.1971762e-05,-5.9556216e-05,-4.656613e-06,-0.029177353,0.00044756357
0.034482758620689655,0.7931034482758621,2.8908253e-05,-5.2690506e-05,2.6263297e-06,-0.02917854,0.00046932866
0.034482758620689655,0.8275862068965517,3.632158e-05,-4.499778e-05,1.0240823e-05,-0.029179834,0.0004901783
0.034482758620689655,0.8620689655172413,4.412979e-05,-3.646314e-05,1.815334e-05,-0.029181216,0.0005101167
0.034482758620689655,0.896551724137931,5.2392483e-05,-2.7101487e-05,2.6304275e-05,-0.029182691,0.0005291641
0.034482758620689655,0.9310344827586207,6.1005354e-05,-1.6812235e-05,3.460422e-05,-0.029184284,0.0005473604
0.034482758620689655,0.9655172413793103,6.99833e-05,-5.64754e-06,4.297681e-05,-0.029185962,0.0005647595
0.034482758620689655,1.0,7.928163e-05,6.3963234e-06,5.140342e-05,-0.02918777,0.00058141706
0.06896551724137931,0.0,3.8467348e-05,-6.6779554e-05,4.7253445e-05,-0.02917535,0.0005306721
0.06896551724137931,0.034482758620689655,2.9541552e-05,-7.002428e-05,3.190711e-05,-0.029173682,0.00047933628
0.06896551724137931,0.06896551724137931,2.1450222e-05,-7.325038e-05,1.8078834e-05,-0.029172271,0.00042991238
0.06896551724137931,0.10344827586206896,1.4230609e-05,-7.6413155e-05,5.805865e-06,-0.02917108,0.00038265783
0.06896551724137931,0.13793103448275862,7.815659e-06,-7.946417e-05,-5.0049275e-06,-0.02917008,0.00033794896
0.06896551724137931,0.1724137931034483,2.2426248e-06,-8.234754e-05,-1.4396384e-05,-0.029169293,0.0002962777
0.06896551724137931,0.20689655172413793,-2.540648e-06,-8.5026026e-05,-2.2366643e-05,-0.029168652,0.00025837004
0.06896551724137931,0.24137931034482757,-6.534159e-06,-8.745119e-05,-2.900511e-05,-0.029168162,0.00022526161
0.06896551724137931,0.27586206896551724,-9.75281e-06,-8.957088e-05,-3.436394e-05,-0.029167816,0.00019835666
0.06896551724137931,0.3103448275862069,-1.2218952e-05,-9.1355294e-05,-3.8465485e-05,-0.029167615,0.0001793808
0.06896551724137931,0.3448275862068966,-1.3940036e-05,-9.2763454e-05,-4.1367486e-05,-0.029167514,0.00016986129
0.06896551724137931,0.3793103448275862,-1.4901161e-05,-9.373203e-05,-4.3153763e-05,-0.02916751,0.0001702571
0.06896551724137931,0.41379310344827586,-1.5169382e-05,-9.4257295e-05,-4.3852255e-05,-0.02916762,0.00017951497
0.06896551724137931,0.4482758620689655,-1.4767051e-05,-9.426847e-05,-4.353188e-05,-0.029167796,0.00019545955
0.06896551724137931,0.48275862068965514,-1.3664365e-05,-9.3743205e-05,-4.225038e-05,-0.029168058,0.00021586192
0.06896551724137931,0.5172413793103449,-1.1906028e-05,-9.2659146e-05,-4.0084124e-05,-0.029168395,0.00023890406
0.06896551724137931,0.5517241379310345,-9.49949e-06,-9.096414e-05,-3.7072226e-05,-0.029168831,0.00026332986
0.06896551724137931,0.5862068965517241,-6.4745545e-06,-8.863583e-05,-3.327243e-05,-0.029169308,0.0002883048
0.06896551724137931,0.6206896551724138,-2.8386712e-06,-8.56407e-05,-2.878718e-05,-0.029169863,0.00031327488
0.06896551724137931,0.6551724137931034,1.3336539e-06,-8.193776e-05,-2.3659319e-05,-0.029170511,0.00033791753
0.06896551724137931,0.6896551724137931,6.057322e-06,-7.753074e-05,-1.7950311e-05,-0.029171228,0.00036199397
0.06896551724137931,0.7241379310344828,1.1347234e-05,-7.239729e-05,-1.17029995e-05,-0.029172026,0.00038536784
0.06896551724137931,0.7586206896551724,1.7113984e-05,-6.645918e-05,-5.0365925e-06,-0.02917291,0.00040796894
0.06896551724137931,0.7931034482758621,2.335012e-05,-5.974993e-05,2.0228326e-06,-0.029173883,0.0004297555
